Date_Str,Close,Volume,Next_Close,Actual_Diff,Actual_Label
2021-10-15,29068.630859375,66300000,29025.4609375,-43.169921875,0
2021-10-18,29025.4609375,62600000,29215.51953125,190.05859375,1
2021-10-19,29215.51953125,57600000,29255.55078125,40.03125,1
2021-10-20,29255.55078125,66100000,28708.580078125,-546.970703125,0
2021-10-21,28708.580078125,59100000,28804.849609375,96.26953125,1
2021-10-22,28804.849609375,60200000,28600.41015625,-204.439453125,0
2021-10-25,28600.41015625,62700000,29106.009765625,505.599609375,1
2021-10-26,29106.009765625,72800000,29098.240234375,-7.76953125,0
2021-10-27,29098.240234375,70600000,28820.08984375,-278.150390625,0
2021-10-28,28820.08984375,142800000,28892.689453125,72.599609375,1
2021-10-29,28892.689453125,104500000,29647.080078125,754.390625,1
2021-11-01,29647.080078125,76700000,29520.900390625,-126.1796875,0
2021-11-02,29520.900390625,71100000,29794.369140625,273.46875,1
2021-11-04,29794.369140625,90400000,29611.5703125,-182.798828125,0
2021-11-05,29611.5703125,73500000,29507.05078125,-104.51953125,0
2021-11-08,29507.05078125,68300000,29285.4609375,-221.58984375,0
2021-11-09,29285.4609375,65000000,29106.779296875,-178.681640625,0
2021-11-10,29106.779296875,63900000,29277.859375,171.080078125,1
2021-11-11,29277.859375,60600000,29609.970703125,332.111328125,1
2021-11-12,29609.970703125,68400000,29776.80078125,166.830078125,1
2021-11-15,29776.80078125,60400000,29808.119140625,31.318359375,1
2021-11-16,29808.119140625,62000000,29688.330078125,-119.7890625,0
2021-11-17,29688.330078125,63900000,29598.66015625,-89.669921875,0
2021-11-18,29598.66015625,65400000,29745.869140625,147.208984375,1
2021-11-19,29745.869140625,65600000,29774.109375,28.240234375,1
2021-11-22,29774.109375,58800000,29302.66015625,-471.44921875,0
2021-11-24,29302.66015625,69500000,29499.279296875,196.619140625,1
2021-11-25,29499.279296875,50700000,28751.619140625,-747.66015625,0
2021-11-26,28751.619140625,72900000,28283.919921875,-467.69921875,0
2021-11-29,28283.919921875,85900000,27821.759765625,-462.16015625,0
2021-11-30,27821.759765625,140700000,27935.619140625,113.859375,1
2021-12-01,27935.619140625,80900000,27753.369140625,-182.25,0
2021-12-02,27753.369140625,77400000,28029.5703125,276.201171875,1
2021-12-03,28029.5703125,71900000,27927.369140625,-102.201171875,0
2021-12-06,27927.369140625,61700000,28455.599609375,528.23046875,1
2021-12-07,28455.599609375,78300000,28860.619140625,405.01953125,1
2021-12-08,28860.619140625,72000000,28725.470703125,-135.1484375,0
2021-12-09,28725.470703125,54400000,28437.76953125,-287.701171875,0
2021-12-10,28437.76953125,63400000,28640.490234375,202.720703125,1
2021-12-13,28640.490234375,53500000,28432.640625,-207.849609375,0
2021-12-14,28432.640625,55200000,28459.720703125,27.080078125,1
2021-12-15,28459.720703125,55900000,29066.3203125,606.599609375,1
2021-12-16,29066.3203125,60300000,28545.6796875,-520.640625,0
2021-12-17,28545.6796875,84400000,27937.810546875,-607.869140625,0
2021-12-20,27937.810546875,65200000,28517.58984375,579.779296875,1
2021-12-21,28517.58984375,55800000,28562.2109375,44.62109375,1
2021-12-22,28562.2109375,44700000,28798.369140625,236.158203125,1
2021-12-23,28798.369140625,43600000,28782.58984375,-15.779296875,0
2021-12-24,28782.58984375,35900000,28676.4609375,-106.12890625,0
2021-12-27,28676.4609375,37500000,29069.16015625,392.69921875,1
2021-12-28,29069.16015625,47000000,28906.880859375,-162.279296875,0
2021-12-29,28906.880859375,44700000,28791.7109375,-115.169921875,0
2021-12-30,28791.7109375,40400000,29301.7890625,510.078125,1
2022-01-04,29301.7890625,66000000,29332.16015625,30.37109375,1
2022-01-05,29332.16015625,78600000,28487.869140625,-844.291015625,0
2022-01-06,28487.869140625,71600000,28478.560546875,-9.30859375,0
2022-01-07,28478.560546875,75200000,28222.48046875,-256.080078125,0
2022-01-11,28222.48046875,73700000,28765.66015625,543.1796875,1
2022-01-12,28765.66015625,72500000,28489.130859375,-276.529296875,0
2022-01-13,28489.130859375,69900000,28124.279296875,-364.8515625,0
2022-01-14,28124.279296875,82100000,28333.51953125,209.240234375,1
2022-01-17,28333.51953125,54500000,28257.25,-76.26953125,0
2022-01-18,28257.25,71300000,27467.23046875,-790.01953125,0
2022-01-19,27467.23046875,84300000,27772.9296875,305.69921875,1
2022-01-20,27772.9296875,74000000,27522.259765625,-250.669921875,0
2022-01-21,27522.259765625,72700000,27588.369140625,66.109375,1
2022-01-24,27588.369140625,61000000,27131.33984375,-457.029296875,0
2022-01-25,27131.33984375,77000000,27011.330078125,-120.009765625,0
2022-01-26,27011.330078125,60500000,26170.30078125,-841.029296875,0
2022-01-27,26170.30078125,88700000,26717.33984375,547.0390625,1
2022-01-28,26717.33984375,76000000,27001.98046875,284.640625,1
2022-01-31,27001.98046875,78300000,27078.48046875,76.5,1
2022-02-01,27078.48046875,81100000,27533.599609375,455.119140625,1
2022-02-02,27533.599609375,85200000,27241.310546875,-292.2890625,0
2022-02-03,27241.310546875,81100000,27439.990234375,198.6796875,1
2022-02-04,27439.990234375,79600000,27248.869140625,-191.12109375,0
2022-02-07,27248.869140625,77100000,27284.51953125,35.650390625,1
2022-02-08,27284.51953125,76600000,27579.869140625,295.349609375,1
2022-02-09,27579.869140625,93500000,27696.080078125,116.2109375,1
2022-02-10,27696.080078125,82900000,27079.58984375,-616.490234375,0
2022-02-14,27079.58984375,79800000,26865.189453125,-214.400390625,0
2022-02-15,26865.189453125,76200000,27460.400390625,595.2109375,1
2022-02-16,27460.400390625,64100000,27232.869140625,-227.53125,0
2022-02-17,27232.869140625,67800000,27122.0703125,-110.798828125,0
2022-02-18,27122.0703125,63500000,26910.869140625,-211.201171875,0
2022-02-21,26910.869140625,52900000,26449.609375,-461.259765625,0
2022-02-22,26449.609375,67300000,25970.8203125,-478.7890625,0
2022-02-24,25970.8203125,93500000,26476.5,505.6796875,1
2022-02-25,26476.5,77600000,26526.8203125,50.3203125,1
2022-02-28,26526.8203125,91100000,26844.720703125,317.900390625,1
2022-03-01,26844.720703125,74000000,26393.029296875,-451.69140625,0
2022-03-02,26393.029296875,87700000,26577.26953125,184.240234375,1
2022-03-03,26577.26953125,74800000,25985.470703125,-591.798828125,0
2022-03-04,25985.470703125,93500000,25221.41015625,-764.060546875,0
2022-03-07,25221.41015625,105400000,24790.94921875,-430.4609375,0
2022-03-08,24790.94921875,114700000,24717.529296875,-73.419921875,0
2022-03-09,24717.529296875,91500000,25690.400390625,972.87109375,1
2022-03-10,25690.400390625,95200000,25162.779296875,-527.62109375,0
2022-03-11,25162.779296875,89600000,25307.849609375,145.0703125,1
2022-03-14,25307.849609375,72600000,25346.48046875,38.630859375,1
2022-03-15,25346.48046875,73200000,25762.009765625,415.529296875,1
2022-03-16,25762.009765625,82300000,26652.890625,890.880859375,1
2022-03-17,26652.890625,89600000,26827.4296875,174.5390625,1
2022-03-18,26827.4296875,108200000,27224.109375,396.6796875,1
2022-03-22,27224.109375,98000000,28040.16015625,816.05078125,1
2022-03-23,28040.16015625,88200000,28110.390625,70.23046875,1
2022-03-24,28110.390625,71600000,28149.83984375,39.44921875,1
2022-03-25,28149.83984375,67400000,27943.890625,-205.94921875,0
2022-03-28,27943.890625,65300000,28252.419921875,308.529296875,1
2022-03-29,28252.419921875,77700000,28027.25,-225.169921875,0
2022-03-30,28027.25,83400000,27821.4296875,-205.8203125,0
2022-03-31,27821.4296875,78600000,27665.98046875,-155.44921875,0
2022-04-01,27665.98046875,66800000,27736.470703125,70.490234375,1
2022-04-04,27736.470703125,50300000,27787.98046875,51.509765625,1
2022-04-05,27787.98046875,64300000,27350.30078125,-437.6796875,0
2022-04-06,27350.30078125,68700000,26888.5703125,-461.73046875,0
2022-04-07,26888.5703125,71100000,26985.80078125,97.23046875,1
2022-04-08,26985.80078125,78100000,26821.51953125,-164.28125,0
2022-04-11,26821.51953125,73500000,26334.98046875,-486.5390625,0
2022-04-12,26334.98046875,75300000,26843.490234375,508.509765625,1
2022-04-13,26843.490234375,71600000,27172.0,328.509765625,1
2022-04-14,27172.0,61800000,27093.189453125,-78.810546875,0
2022-04-15,27093.189453125,51500000,26799.7109375,-293.478515625,0
2022-04-18,26799.7109375,48300000,26985.08984375,185.37890625,1
2022-04-19,26985.08984375,60500000,27217.849609375,232.759765625,1
2022-04-20,27217.849609375,72300000,27553.060546875,335.2109375,1
2022-04-21,27553.060546875,62300000,27105.259765625,-447.80078125,0
2022-04-22,27105.259765625,58500000,26590.779296875,-514.48046875,0
2022-04-25,26590.779296875,62700000,26700.109375,109.330078125,1
2022-04-26,26700.109375,64300000,26386.630859375,-313.478515625,0
2022-04-27,26386.630859375,97300000,26847.900390625,461.26953125,1
2022-04-28,26847.900390625,86700000,26818.529296875,-29.37109375,0
2022-05-02,26818.529296875,74500000,27003.560546875,185.03125,1
2022-05-06,27003.560546875,98500000,26319.33984375,-684.220703125,0
2022-05-09,26319.33984375,79500000,26167.099609375,-152.240234375,0
2022-05-10,26167.099609375,80800000,26213.640625,46.541015625,1
2022-05-11,26213.640625,85900000,25748.720703125,-464.919921875,0
2022-05-12,25748.720703125,91200000,26427.650390625,678.9296875,1
2022-05-13,26427.650390625,103800000,26547.05078125,119.400390625,1
2022-05-16,26547.05078125,87000000,26659.75,112.69921875,1
2022-05-17,26659.75,78900000,26911.19921875,251.44921875,1
2022-05-18,26911.19921875,74700000,26402.83984375,-508.359375,0
2022-05-19,26402.83984375,74500000,26739.029296875,336.189453125,1
2022-05-20,26739.029296875,76300000,27001.51953125,262.490234375,1
2022-05-23,27001.51953125,65000000,26748.140625,-253.37890625,0
2022-05-24,26748.140625,67400000,26677.80078125,-70.33984375,0
2022-05-25,26677.80078125,72300000,26604.83984375,-72.9609375,0
2022-05-26,26604.83984375,64500000,26781.6796875,176.83984375,1
2022-05-27,26781.6796875,69300000,27369.4296875,587.75,1
2022-05-30,27369.4296875,97000000,27279.80078125,-89.62890625,0
2022-05-31,27279.80078125,141800000,27457.890625,178.08984375,1
2022-06-01,27457.890625,75800000,27413.880859375,-44.009765625,0
2022-06-02,27413.880859375,63600000,27761.5703125,347.689453125,1
2022-06-03,27761.5703125,63700000,27915.890625,154.3203125,1
2022-06-06,27915.890625,56800000,27943.94921875,28.05859375,1
2022-06-07,27943.94921875,68300000,28234.2890625,290.33984375,1
2022-06-08,28234.2890625,78700000,28246.529296875,12.240234375,1
2022-06-09,28246.529296875,80300000,27824.2890625,-422.240234375,0
2022-06-10,27824.2890625,79700000,26987.439453125,-836.849609375,0
2022-06-13,26987.439453125,71400000,26629.859375,-357.580078125,0
2022-06-14,26629.859375,75000000,26326.16015625,-303.69921875,0
2022-06-15,26326.16015625,72700000,26431.19921875,105.0390625,1
2022-06-16,26431.19921875,67800000,25963.0,-468.19921875,0
2022-06-17,25963.0,115200000,25771.220703125,-191.779296875,0
